id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11306525,Harmony Athens residence 120m metro,48331146,Vasilika,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.019913866507615,23.72894349614482,Entire home/apt,59,2,2,2016-07-27,0.20,3,276
7618739,23 sq.m. studio 7th floor with view,39902363,George,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.02048692406253,23.731795540037023,Entire home/apt,30,1,1,2015-11-11,0.05,1,365
13041734,Quiet penthouse,72133319,Akis,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01450392051542,23.728551254736708,Entire home/apt,80,3,0,,,1,179
15460875,"cozy and sunny apartment, Athens center",97361643,Rallou & Christina & Nikos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98352518268007,23.720654417731396,Private room,50,1,0,,,2,32
16210360,GRSCATH301-5 Penthouse Suite in Athens,4486574,Important Group,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9840226912392,23.72323541743839,Entire home/apt,284,2,1,2017-01-03,0.24,6,365
448768,Athens Centre 3min. walk from metro,2228424,Stefanos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99149030218521,23.729022648091608,Entire home/apt,65,2,19,2017-04-24,0.34,2,178
891184,live@the historic center,4723074,Ilias,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.981345201934815,23.72018994237477,Private room,25,2,34,2017-05-02,0.68,2,365
14163719,Explore historical center by foot!!!!,76974476,Ilias-Georgia,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.986915673007466,23.72853092351353,Entire home/apt,23,1,7,2017-05-06,0.96,1,175
14992796,Athens center,94523396,Nikos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98652309018234,23.72454398375205,Private room,66,1,0,,,1,180
59663,ATHENS spacious apt Ideal location,286911,Nely,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.990954304761125,23.721950232211366,Entire home/apt,59,1,248,2017-05-05,3.18,1,247
